Well	Sample	Rep	x_axis_cutoff	Keep
A1	L0B5-200	1	48	TRUE
A2	L1B5-200	1	48	TRUE
A3	L2B5-100	1	48	TRUE
A4	L2B4-100	1	48	TRUE
A5	L0B4-200	1	48	TRUE
A6	L1B4-200	1	48	TRUE
A7	L2B3-100	1	48	TRUE
A8	L0B2-200	1	48	TRUE
B1	L1B2-200	1	48	TRUE
B2	L2B1-100	1	48	TRUE
B3	L1B1-200	1	48	TRUE
B4	L2B2-100	1	48	TRUE
B5	L1B3-200	1	48	TRUE
B6	L0B3-200	1	48	TRUE
B7	L0B1-200	1	48	TRUE
B8	blank_media	1	48	FALSE
C1	L0B5-200	2	48	TRUE
C2	L1B5-200	2	48	TRUE
C3	L2B5-100	2	48	TRUE
C4	L2B4-100	2	48	TRUE
C5	L0B4-200	2	48	TRUE
C6	L1B4-200	2	48	TRUE
C7	L2B3-100	2	48	TRUE
C8	L0B2-200	2	48	TRUE
D1	L1B2-200	2	48	TRUE
D2	L2B1-100	2	48	TRUE
D3	L1B1-200	2	48	TRUE
D4	L2B2-100	2	48	TRUE
D5	L1B3-200	2	48	TRUE
D6	L0B3-200	2	48	TRUE
D7	L0B1-200	2	48	TRUE
D8	blank_media	2	48	FALSE
E1	L0B5-200	3	48	TRUE
E2	L1B5-200	3	48	TRUE
E3	L2B5-100	3	48	TRUE
E4	L2B4-100	3	48	TRUE
E5	L0B4-200	3	48	TRUE
E6	L1B4-200	3	48	TRUE
E7	L2B3-100	3	48	TRUE
E8	L0B2-200	3	48	TRUE
F1	L1B2-200	3	48	TRUE
F2	L2B1-100	3	48	TRUE
F3	L1B1-200	3	48	TRUE
F4	L2B2-100	3	48	TRUE
F5	L1B3-200	3	48	TRUE
F6	L0B3-200	3	48	TRUE
F7	L0B1-200	3	48	TRUE
F8	blank_media	3	48	FALSE
